url,error,timestamp
https://www.nytimes.com/2026/06/12/realestate/foster-supply-hospitality-newburgh-hotel.html/,Failed to scrape content,2026-06-14T23:23:53.183118
https://www.nytimes.com/column/the-hunt/,"Failed quality check: word_count=37, quality_score=0.50",2026-06-14T23:23:53.766731
https://www.nytimes.com/column/living-in/,"Failed quality check: word_count=32, quality_score=0.50",2026-06-14T23:23:53.924370
https://www.nytimes.com/interactive/2022/10/31/realestate/affordable-housing-calculator.html/,Failed to scrape content,2026-06-14T23:23:53.986705
https://www.apa.org/idem/Logout/,Failed to scrape content,2026-06-14T23:23:54.642267
https://www.nytimes.com/2026/06/13/realestate/short-term-rental-hosting-airbnb.html/,Failed to scrape content,2026-06-14T23:23:54.929006
https://www.nytimes.com/2026/06/12/realestate/montreal-quebec-canada-homes-for-sale.html/,Failed to scrape content,2026-06-14T23:23:54.974055
https://www.apa.org/monitor/2026/01-02/nine-trends-to-watch/,"Failed quality check: word_count=192, quality_score=0.60",2026-06-14T23:23:56.581026
https://www.apa.org/pubs/databases/,"Failed quality check: word_count=26, quality_score=0.50",2026-06-14T23:23:57.233176
https://www.apa.org/pubs/digital-learning/,"Failed quality check: word_count=35, quality_score=0.60",2026-06-14T23:23:57.461124
https://www.apa.org/pubs/magination/,"Failed quality check: word_count=125, quality_score=0.50",2026-06-14T23:23:57.828638
https://www.apa.org/pubs/books/,"Failed quality check: word_count=29, quality_score=0.50",2026-06-14T23:23:58.050024
https://psychcentral.com/stress/financial-stress,Failed to scrape content,2026-06-14T23:23:58.610811
https://www.calm.com/blog/essentials/,"Failed quality check: word_count=68, quality_score=0.50",2026-06-14T23:23:58.664186
https://www.psychologytoday.com/us/therapists/,"Failed quality check: word_count=182, quality_score=0.60",2026-06-14T23:23:59.218493
https://www.apa.org/pubs/journals/,"Failed quality check: word_count=39, quality_score=0.60",2026-06-14T23:23:59.341292
https://www.apa.org/pubs/videos/,"Failed quality check: word_count=99, quality_score=0.60",2026-06-14T23:23:59.545220
https://www.psychologytoday.com/us/therapists//tx/houston/,"Failed quality check: word_count=122, quality_score=0.50",2026-06-14T23:24:07.101826
https://www.psychologytoday.com/us/therapists//il/chicago/,"Failed quality check: word_count=125, quality_score=0.30",2026-06-14T23:24:07.752560
https://www.psychologytoday.com/us/therapists//ny/brooklyn/,"Failed quality check: word_count=104, quality_score=0.50",2026-06-14T23:24:07.869442
https://www.psychologytoday.com/us/therapists//tx/austin/,"Failed quality check: word_count=136, quality_score=0.40",2026-06-14T23:24:08.015087
https://www.psychologytoday.com/us/therapists//co/denver/,"Failed quality check: word_count=236, quality_score=0.50",2026-06-14T23:24:08.056079
https://www.vox.com/21523212/crossword-puzzles-free-daily-printable/,"Failed quality check: word_count=94, quality_score=0.50",2026-06-14T23:24:08.396045
https://www.psychologytoday.com/us/therapists//ca/los-angeles/,"Failed quality check: word_count=140, quality_score=0.40",2026-06-14T23:24:09.279557
https://www.vox.com/videos/490730/how-the-war-in-iran-could-end-affordable-air-travel/,"Failed quality check: word_count=229, quality_score=0.50",2026-06-14T23:24:11.413517
https://www.vox.com/the-highlight/489796/generosity-internet-cringe-optimism/,"Failed quality check: word_count=5104, quality_score=0.60",2026-06-14T23:24:12.133288
https://www.psychologytoday.com/us/therapists//ny/new-york/,"Failed quality check: word_count=105, quality_score=0.40",2026-06-14T23:24:12.632170
