"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","FEDERAL TIN","RATE EXPIRATION","RATE EFFECTIVE DATE","PLAN ID","RATING AREA ID",TOBACCO,AGE,QHP_NON_QHP_TYPE_ID,"INDIVIDUAL RATE","INDIVIDUAL TOBACCO RATE",COUPLE,"PRIMARY SUBSCRIBER AND ONE DEPENDENT","PRIMARY SUBSCRIBER AND TWO DEPENDENTS","PRIMARY SUBSCRIBER AND THREE OR MORE DEPENDENTS","COUPLE AND ONE DEPENDENT","COUPLE AND TWO DEPENDENTS","COUPLE AND THREE OR MORE DEPENDENTS"
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",18,Both,402.78,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",19,Both,415.13,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",20,Both,427.93,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",21,Both,441.16,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",22,Both,441.16,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",23,Both,441.16,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",24,Both,441.16,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",25,Both,442.92,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",26,Both,451.75,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",27,Both,462.34,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",28,Both,479.54,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",29,Both,493.66,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",30,Both,500.72,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",31,Both,511.30,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",32,Both,521.89,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",33,Both,528.51,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",34,Both,535.57,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",35,Both,539.10,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",36,Both,542.63,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",37,Both,546.16,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",38,Both,549.69,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",39,Both,556.74,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",40,Both,563.80,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",41,Both,574.39,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",42,Both,584.54,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",43,Both,598.65,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",44,Both,616.30,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",45,Both,637.04,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",46,Both,661.74,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",47,Both,689.53,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",48,Both,721.30,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",49,Both,752.62,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",50,Both,787.91,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",51,Both,822.76,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",52,Both,861.14,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",53,Both,899.97,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",54,Both,941.88,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",55,Both,983.79,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",56,Both,1029.23,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",57,Both,1075.11,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",58,Both,1124.08,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",59,Both,1148.34,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",60,Both,1197.31,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",61,Both,1239.66,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",62,Both,1267.45,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",63,Both,1302.30,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference","64 and over",Both,1323.48,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",0-14,Both,335.76,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",15,Both,365.60,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",16,Both,377.02,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",17,Both,388.43,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",18,Both,400.72,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010002,"Rating Area 1","No Preference",19,Both,413.00,,,,,,,,
